,Player,Year,Position,Age,Height,Weight,Draft Position,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP
John Albert 2015,John Albert,2015,C,25.698,71,188,175,,,,9.0,
John Albert 2016,John Albert,2016,C,26.698,71,188,175,,,9.0,,
John Albert 2017,John Albert,2017,C,27.7,71,188,175,,9.0,,,
John Albert 2018,John Albert,2018,C,28.699,71,188,175,9.0,,,,
John Albert 2019,John Albert,2019,C,29.698,71,188,175,,,,,
John Albert 2020,John Albert,2020,C,30.698,71,188,175,,,,,
John Albert 2021,John Albert,2021,C,31.7,71,188,175,,,,,
John Albert 2022,John Albert,2022,C,32.699,71,188,175,,,,,
John Albert 2023,John Albert,2023,C,33.698,71,188,175,,,,,
Aaron Palushaj 2008,Aaron Palushaj,2008,R,18.065,72,187,44,,,,,
Aaron Palushaj 2009,Aaron Palushaj,2009,R,19.067,72,187,44,,,,,
Aaron Palushaj 2010,Aaron Palushaj,2010,R,20.066,72,187,44,,,,,
Aaron Palushaj 2011,Aaron Palushaj,2011,R,21.066,72,187,44,,,,,3.0
Aaron Palushaj 2012,Aaron Palushaj,2012,R,22.065,72,187,44,,,,3.0,38.0
Aaron Palushaj 2013,Aaron Palushaj,2013,R,23.067,72,187,44,,,3.0,38.0,25.0
Aaron Palushaj 2014,Aaron Palushaj,2014,R,24.066,72,187,44,,3.0,38.0,25.0,2.0
Aaron Palushaj 2015,Aaron Palushaj,2015,R,25.066,72,187,44,3.0,38.0,25.0,2.0,
Aaron Palushaj 2016,Aaron Palushaj,2016,R,26.065,72,187,44,38.0,25.0,2.0,,
Aaron Palushaj 2017,Aaron Palushaj,2017,R,27.067,72,187,44,25.0,2.0,,,
Aaron Palushaj 2018,Aaron Palushaj,2018,R,28.066,72,187,44,2.0,,,,
Aaron Palushaj 2019,Aaron Palushaj,2019,R,29.066,72,187,44,,,,,
Aaron Palushaj 2020,Aaron Palushaj,2020,R,30.065,72,187,44,,,,,
Aaron Palushaj 2021,Aaron Palushaj,2021,R,31.067,72,187,44,,,,,
Aaron Palushaj 2022,Aaron Palushaj,2022,R,32.067,72,187,44,,,,,
Aaron Palushaj 2023,Aaron Palushaj,2023,R,33.066,72,187,44,,,,,
Linus Omark 2008,Linus Omark,2008,L,20.652,70,187,97,,,,,
Linus Omark 2009,Linus Omark,2009,L,21.654,70,187,97,,,,,
Linus Omark 2010,Linus Omark,2010,L,22.654,70,187,97,,,,,
Linus Omark 2011,Linus Omark,2011,L,23.653,70,187,97,,,,,51.0
Linus Omark 2012,Linus Omark,2012,L,24.652,70,187,97,,,,51.0,14.0
Linus Omark 2013,Linus Omark,2013,L,25.654,70,187,97,,,51.0,14.0,
Linus Omark 2014,Linus Omark,2014,L,26.654,70,187,97,,51.0,14.0,,14.0
Linus Omark 2015,Linus Omark,2015,L,27.653,70,187,97,51.0,14.0,,14.0,
Linus Omark 2016,Linus Omark,2016,L,28.652,70,187,97,14.0,,14.0,,
Linus Omark 2017,Linus Omark,2017,L,29.654,70,187,97,,14.0,,,
Linus Omark 2018,Linus Omark,2018,L,30.654,70,187,97,14.0,,,,
Linus Omark 2019,Linus Omark,2019,L,31.653,70,187,97,,,,,
Linus Omark 2020,Linus Omark,2020,L,32.653,70,187,97,,,,,
Linus Omark 2021,Linus Omark,2021,L,33.655,70,187,97,,,,,
Linus Omark 2022,Linus Omark,2022,L,34.654,70,187,97,,,,,
Linus Omark 2023,Linus Omark,2023,L,35.653,70,187,97,,,,,
Carson McMillan 2008,Carson McMillan,2008,R,19.056,73,196,200,,,,,
Carson McMillan 2009,Carson McMillan,2009,R,20.058,73,196,200,,,,,
Carson McMillan 2010,Carson McMillan,2010,R,21.057,73,196,200,,,,,
Carson McMillan 2011,Carson McMillan,2011,R,22.057,73,196,200,,,,,4.0
Carson McMillan 2012,Carson McMillan,2012,R,23.056,73,196,200,,,,4.0,11.0
Carson McMillan 2013,Carson McMillan,2013,R,24.058,73,196,200,,,4.0,11.0,
Carson McMillan 2014,Carson McMillan,2014,R,25.057,73,196,200,,4.0,11.0,,1.0
Carson McMillan 2015,Carson McMillan,2015,R,26.057,73,196,200,4.0,11.0,,1.0,
Carson McMillan 2016,Carson McMillan,2016,R,27.056,73,196,200,11.0,,1.0,,
Carson McMillan 2017,Carson McMillan,2017,R,28.058,73,196,200,,1.0,,,
Carson McMillan 2018,Carson McMillan,2018,R,29.058,73,196,200,1.0,,,,
Carson McMillan 2019,Carson McMillan,2019,R,30.057,73,196,200,,,,,
Carson McMillan 2020,Carson McMillan,2020,R,31.056,73,196,200,,,,,
Carson McMillan 2021,Carson McMillan,2021,R,32.058,73,196,200,,,,,
Carson McMillan 2022,Carson McMillan,2022,R,33.058,73,196,200,,,,,
Carson McMillan 2023,Carson McMillan,2023,R,34.057,73,196,200,,,,,
Pierre-Cedric Labrie 2008,Pierre-Cedric Labrie,2008,L,20.819,75,226,-,,,,,
Pierre-Cedric Labrie 2009,Pierre-Cedric Labrie,2009,L,21.821,75,226,-,,,,,
Pierre-Cedric Labrie 2010,Pierre-Cedric Labrie,2010,L,22.821,75,226,-,,,,,
Pierre-Cedric Labrie 2011,Pierre-Cedric Labrie,2011,L,23.82,75,226,-,,,,,
Pierre-Cedric Labrie 2012,Pierre-Cedric Labrie,2012,L,24.819,75,226,-,,,,,14.0
Pierre-Cedric Labrie 2013,Pierre-Cedric Labrie,2013,L,25.821,75,226,-,,,,14.0,19.0
Pierre-Cedric Labrie 2014,Pierre-Cedric Labrie,2014,L,26.821,75,226,-,,,14.0,19.0,13.0
Pierre-Cedric Labrie 2015,Pierre-Cedric Labrie,2015,L,27.82,75,226,-,,14.0,19.0,13.0,
Pierre-Cedric Labrie 2016,Pierre-Cedric Labrie,2016,L,28.819,75,226,-,14.0,19.0,13.0,,
Pierre-Cedric Labrie 2017,Pierre-Cedric Labrie,2017,L,29.821,75,226,-,19.0,13.0,,,
Pierre-Cedric Labrie 2018,Pierre-Cedric Labrie,2018,L,30.821,75,226,-,13.0,,,,
Pierre-Cedric Labrie 2019,Pierre-Cedric Labrie,2019,L,31.82,75,226,-,,,,,
Pierre-Cedric Labrie 2020,Pierre-Cedric Labrie,2020,L,32.82,75,226,-,,,,,
Pierre-Cedric Labrie 2021,Pierre-Cedric Labrie,2021,L,33.822,75,226,-,,,,,
Pierre-Cedric Labrie 2022,Pierre-Cedric Labrie,2022,L,34.821,75,226,-,,,,,
Pierre-Cedric Labrie 2023,Pierre-Cedric Labrie,2023,L,35.82,75,226,-,,,,,
Brett Gallant 2008,Brett Gallant,2008,L,18.758,72,191,-,,,,,
Brett Gallant 2009,Brett Gallant,2009,L,19.76,72,191,-,,,,,
Brett Gallant 2010,Brett Gallant,2010,L,20.759,72,191,-,,,,,
Brett Gallant 2011,Brett Gallant,2011,L,21.758,72,191,-,,,,,
Brett Gallant 2012,Brett Gallant,2012,L,22.758,72,191,-,,,,,
Brett Gallant 2013,Brett Gallant,2013,L,23.76,72,191,-,,,,,
Brett Gallant 2014,Brett Gallant,2014,L,24.759,72,191,-,,,,,4.0
Brett Gallant 2015,Brett Gallant,2015,L,25.758,72,191,-,,,,4.0,
Brett Gallant 2016,Brett Gallant,2016,L,26.758,72,191,-,,,4.0,,
Brett Gallant 2017,Brett Gallant,2017,L,27.76,72,191,-,,4.0,,,
Brett Gallant 2018,Brett Gallant,2018,L,28.759,72,191,-,4.0,,,,
Brett Gallant 2019,Brett Gallant,2019,L,29.759,72,191,-,,,,,
Brett Gallant 2020,Brett Gallant,2020,L,30.758,72,191,-,,,,,
Brett Gallant 2021,Brett Gallant,2021,L,31.76,72,191,-,,,,,
Brett Gallant 2022,Brett Gallant,2022,L,32.759,72,191,-,,,,,
Brett Gallant 2023,Brett Gallant,2023,L,33.759,72,191,-,,,,,
Jesse Winchester 2008,Jesse Winchester,2008,C,23.992,73,188,-,,,,,1.0
Jesse Winchester 2009,Jesse Winchester,2009,C,24.995,73,188,-,,,,1.0,76.0
Jesse Winchester 2010,Jesse Winchester,2010,C,25.994,73,188,-,,,1.0,76.0,52.0
Jesse Winchester 2011,Jesse Winchester,2011,C,26.993,73,188,-,,1.0,76.0,52.0,72.0
Jesse Winchester 2012,Jesse Winchester,2012,C,27.993,73,188,-,1.0,76.0,52.0,72.0,32.0
Jesse Winchester 2013,Jesse Winchester,2013,C,28.995,73,188,-,76.0,52.0,72.0,32.0,
Jesse Winchester 2014,Jesse Winchester,2014,C,29.994,73,188,-,52.0,72.0,32.0,,52.0
Jesse Winchester 2015,Jesse Winchester,2015,C,30.993,73,188,-,72.0,32.0,,52.0,
Jesse Winchester 2016,Jesse Winchester,2016,C,31.993,73,188,-,32.0,,52.0,,
Jesse Winchester 2017,Jesse Winchester,2017,C,32.995,73,188,-,,52.0,,,
Jesse Winchester 2018,Jesse Winchester,2018,C,33.994,73,188,-,52.0,,,,
Jesse Winchester 2019,Jesse Winchester,2019,C,34.993,73,188,-,,,,,
Jesse Winchester 2020,Jesse Winchester,2020,C,35.993,73,188,-,,,,,
Jesse Winchester 2021,Jesse Winchester,2021,C,36.995,73,188,-,,,,,
Jesse Winchester 2022,Jesse Winchester,2022,C,37.994,73,188,-,,,,,
Jesse Winchester 2023,Jesse Winchester,2023,C,38.994,73,188,-,,,,,
Ville Leino 2008,Ville Leino,2008,L,23.987,73,182,-,,,,,
Ville Leino 2009,Ville Leino,2009,L,24.989,73,182,-,,,,,13.0
Ville Leino 2010,Ville Leino,2010,L,25.988,73,182,-,,,,13.0,55.0
Ville Leino 2011,Ville Leino,2011,L,26.988,73,182,-,,,13.0,55.0,81.0
Ville Leino 2012,Ville Leino,2012,L,27.987,73,182,-,,13.0,55.0,81.0,71.0
Ville Leino 2013,Ville Leino,2013,L,28.989,73,182,-,13.0,55.0,81.0,71.0,8.0
Ville Leino 2014,Ville Leino,2014,L,29.989,73,182,-,55.0,81.0,71.0,8.0,58.0
Ville Leino 2015,Ville Leino,2015,L,30.988,73,182,-,81.0,71.0,8.0,58.0,
Ville Leino 2016,Ville Leino,2016,L,31.987,73,182,-,71.0,8.0,58.0,,
Ville Leino 2017,Ville Leino,2017,L,32.989,73,182,-,8.0,58.0,,,
Ville Leino 2018,Ville Leino,2018,L,33.989,73,182,-,58.0,,,,
Ville Leino 2019,Ville Leino,2019,L,34.988,73,182,-,,,,,
Ville Leino 2020,Ville Leino,2020,L,35.987,73,182,-,,,,,
Ville Leino 2021,Ville Leino,2021,L,36.989,73,182,-,,,,,
Ville Leino 2022,Ville Leino,2022,L,37.989,73,182,-,,,,,
Ville Leino 2023,Ville Leino,2023,L,38.988,73,182,-,,,,,
Mattias Tedenby 2008,Mattias Tedenby,2008,R,17.608,69,175,24,,,,,
Mattias Tedenby 2009,Mattias Tedenby,2009,R,18.61,69,175,24,,,,,
Mattias Tedenby 2010,Mattias Tedenby,2010,R,19.609,69,175,24,,,,,
Mattias Tedenby 2011,Mattias Tedenby,2011,R,20.608,69,175,24,,,,,58.0
Mattias Tedenby 2012,Mattias Tedenby,2012,R,21.608,69,175,24,,,,58.0,43.0
Mattias Tedenby 2013,Mattias Tedenby,2013,R,22.61,69,175,24,,,58.0,43.0,4.0
Mattias Tedenby 2014,Mattias Tedenby,2014,R,23.609,69,175,24,,58.0,43.0,4.0,15.0
Mattias Tedenby 2015,Mattias Tedenby,2015,R,24.608,69,175,24,58.0,43.0,4.0,15.0,
Mattias Tedenby 2016,Mattias Tedenby,2016,R,25.608,69,175,24,43.0,4.0,15.0,,
Mattias Tedenby 2017,Mattias Tedenby,2017,R,26.61,69,175,24,4.0,15.0,,,
Mattias Tedenby 2018,Mattias Tedenby,2018,R,27.609,69,175,24,15.0,,,,
Mattias Tedenby 2019,Mattias Tedenby,2019,R,28.609,69,175,24,,,,,
Mattias Tedenby 2020,Mattias Tedenby,2020,R,29.608,69,175,24,,,,,
Mattias Tedenby 2021,Mattias Tedenby,2021,R,30.61,69,175,24,,,,,
Mattias Tedenby 2022,Mattias Tedenby,2022,R,31.609,69,175,24,,,,,
Mattias Tedenby 2023,Mattias Tedenby,2023,R,32.609,69,175,24,,,,,
Nicolas Deschamps 2008,Nicolas Deschamps,2008,C,17.734,72,173,35,,,,,
Nicolas Deschamps 2009,Nicolas Deschamps,2009,C,18.736,72,173,35,,,,,
Nicolas Deschamps 2010,Nicolas Deschamps,2010,C,19.735,72,173,35,,,,,
Nicolas Deschamps 2011,Nicolas Deschamps,2011,C,20.734,72,173,35,,,,,
Nicolas Deschamps 2012,Nicolas Deschamps,2012,C,21.734,72,173,35,,,,,
Nicolas Deschamps 2013,Nicolas Deschamps,2013,C,22.736,72,173,35,,,,,
Nicolas Deschamps 2014,Nicolas Deschamps,2014,C,23.735,72,173,35,,,,,3.0
Nicolas Deschamps 2015,Nicolas Deschamps,2015,C,24.734,72,173,35,,,,3.0,
Nicolas Deschamps 2016,Nicolas Deschamps,2016,C,25.734,72,173,35,,,3.0,,
Nicolas Deschamps 2017,Nicolas Deschamps,2017,C,26.736,72,173,35,,3.0,,,
Nicolas Deschamps 2018,Nicolas Deschamps,2018,C,27.735,72,173,35,3.0,,,,
Nicolas Deschamps 2019,Nicolas Deschamps,2019,C,28.735,72,173,35,,,,,
Nicolas Deschamps 2020,Nicolas Deschamps,2020,C,29.734,72,173,35,,,,,
Nicolas Deschamps 2021,Nicolas Deschamps,2021,C,30.736,72,173,35,,,,,
Nicolas Deschamps 2022,Nicolas Deschamps,2022,C,31.735,72,173,35,,,,,
Nicolas Deschamps 2023,Nicolas Deschamps,2023,C,32.735,72,173,35,,,,,
Yann Sauve 2008,Yann Sauve,2008,D,17.616,75,209,41,,,,,
Yann Sauve 2009,Yann Sauve,2009,D,18.618,75,209,41,,,,,
Yann Sauve 2010,Yann Sauve,2010,D,19.617,75,209,41,,,,,
Yann Sauve 2011,Yann Sauve,2011,D,20.617,75,209,41,,,,,5.0
Yann Sauve 2012,Yann Sauve,2012,D,21.616,75,209,41,,,,5.0,
Yann Sauve 2013,Yann Sauve,2013,D,22.618,75,209,41,,,5.0,,
Yann Sauve 2014,Yann Sauve,2014,D,23.617,75,209,41,,5.0,,,3.0
Yann Sauve 2015,Yann Sauve,2015,D,24.617,75,209,41,5.0,,,3.0,
Yann Sauve 2016,Yann Sauve,2016,D,25.616,75,209,41,,,3.0,,
Yann Sauve 2017,Yann Sauve,2017,D,26.618,75,209,41,,3.0,,,
Yann Sauve 2018,Yann Sauve,2018,D,27.617,75,209,41,3.0,,,,
Yann Sauve 2019,Yann Sauve,2019,D,28.617,75,209,41,,,,,
Yann Sauve 2020,Yann Sauve,2020,D,29.616,75,209,41,,,,,
Yann Sauve 2021,Yann Sauve,2021,D,30.618,75,209,41,,,,,
Yann Sauve 2022,Yann Sauve,2022,D,31.618,75,209,41,,,,,
Yann Sauve 2023,Yann Sauve,2023,D,32.617,75,209,41,,,,,
James Wright 2008,James Wright,2008,C,17.523,76,210,117,,,,,
James Wright 2009,James Wright,2009,C,18.525,76,210,117,,,,,
James Wright 2010,James Wright,2010,C,19.524,76,210,117,,,,,48.0
James Wright 2011,James Wright,2011,C,20.523,76,210,117,,,,48.0,1.0
James Wright 2012,James Wright,2012,C,21.523,76,210,117,,,48.0,1.0,
James Wright 2013,James Wright,2013,C,22.525,76,210,117,,48.0,1.0,,38.0
James Wright 2014,James Wright,2014,C,23.524,76,210,117,48.0,1.0,,38.0,59.0
James Wright 2015,James Wright,2015,C,24.524,76,210,117,1.0,,38.0,59.0,
James Wright 2016,James Wright,2016,C,25.523,76,210,117,,38.0,59.0,,
James Wright 2017,James Wright,2017,C,26.525,76,210,117,38.0,59.0,,,
James Wright 2018,James Wright,2018,C,27.524,76,210,117,59.0,,,,
James Wright 2019,James Wright,2019,C,28.524,76,210,117,,,,,
James Wright 2020,James Wright,2020,C,29.523,76,210,117,,,,,
James Wright 2021,James Wright,2021,C,30.525,76,210,117,,,,,
James Wright 2022,James Wright,2022,C,31.524,76,210,117,,,,,
James Wright 2023,James Wright,2023,C,32.524,76,210,117,,,,,
Andrei Loktionov 2008,Andrei Loktionov,2008,C,17.339,71,190,123,,,,,
Andrei Loktionov 2009,Andrei Loktionov,2009,C,18.341,71,190,123,,,,,
Andrei Loktionov 2010,Andrei Loktionov,2010,C,19.341,71,190,123,,,,,1.0
Andrei Loktionov 2011,Andrei Loktionov,2011,C,20.34,71,190,123,,,,1.0,19.0
Andrei Loktionov 2012,Andrei Loktionov,2012,C,21.339,71,190,123,,,1.0,19.0,39.0
Andrei Loktionov 2013,Andrei Loktionov,2013,C,22.341,71,190,123,,1.0,19.0,39.0,28.0
Andrei Loktionov 2014,Andrei Loktionov,2014,C,23.341,71,190,123,1.0,19.0,39.0,28.0,68.0
Andrei Loktionov 2015,Andrei Loktionov,2015,C,24.34,71,190,123,19.0,39.0,28.0,68.0,
Andrei Loktionov 2016,Andrei Loktionov,2016,C,25.34,71,190,123,39.0,28.0,68.0,,
Andrei Loktionov 2017,Andrei Loktionov,2017,C,26.342,71,190,123,28.0,68.0,,,
Andrei Loktionov 2018,Andrei Loktionov,2018,C,27.341,71,190,123,68.0,,,,
Andrei Loktionov 2019,Andrei Loktionov,2019,C,28.34,71,190,123,,,,,
Andrei Loktionov 2020,Andrei Loktionov,2020,C,29.34,71,190,123,,,,,
Andrei Loktionov 2021,Andrei Loktionov,2021,C,30.342,71,190,123,,,,,
Andrei Loktionov 2022,Andrei Loktionov,2022,C,31.341,71,190,123,,,,,
Andrei Loktionov 2023,Andrei Loktionov,2023,C,32.34,71,190,123,,,,,
Mark Cundari 2008,Mark Cundari,2008,D,17.441,69,195,-,,,,,
Mark Cundari 2009,Mark Cundari,2009,D,18.443,69,195,-,,,,,
Mark Cundari 2010,Mark Cundari,2010,D,19.442,69,195,-,,,,,
Mark Cundari 2011,Mark Cundari,2011,D,20.441,69,195,-,,,,,
Mark Cundari 2012,Mark Cundari,2012,D,21.441,69,195,-,,,,,
Mark Cundari 2013,Mark Cundari,2013,D,22.443,69,195,-,,,,,4.0
Mark Cundari 2014,Mark Cundari,2014,D,23.442,69,195,-,,,,4.0,4.0
Mark Cundari 2015,Mark Cundari,2015,D,24.441,69,195,-,,,4.0,4.0,
Mark Cundari 2016,Mark Cundari,2016,D,25.441,69,195,-,,4.0,4.0,,
Mark Cundari 2017,Mark Cundari,2017,D,26.443,69,195,-,4.0,4.0,,,
Mark Cundari 2018,Mark Cundari,2018,D,27.442,69,195,-,4.0,,,,
Mark Cundari 2019,Mark Cundari,2019,D,28.442,69,195,-,,,,,
Mark Cundari 2020,Mark Cundari,2020,D,29.441,69,195,-,,,,,
Mark Cundari 2021,Mark Cundari,2021,D,30.443,69,195,-,,,,,
Mark Cundari 2022,Mark Cundari,2022,D,31.442,69,195,-,,,,,
Mark Cundari 2023,Mark Cundari,2023,D,32.442,69,195,-,,,,,
Mark Van Guilder 2008,Mark Van Guilder,2008,C,23.705,73,186,-,,,,,
Mark Van Guilder 2009,Mark Van Guilder,2009,C,24.707,73,186,-,,,,,
Mark Van Guilder 2010,Mark Van Guilder,2010,C,25.706,73,186,-,,,,,
Mark Van Guilder 2011,Mark Van Guilder,2011,C,26.706,73,186,-,,,,,
Mark Van Guilder 2012,Mark Van Guilder,2012,C,27.705,73,186,-,,,,,
Mark Van Guilder 2013,Mark Van Guilder,2013,C,28.707,73,186,-,,,,,
Mark Van Guilder 2014,Mark Van Guilder,2014,C,29.706,73,186,-,,,,,1.0
Mark Van Guilder 2015,Mark Van Guilder,2015,C,30.706,73,186,-,,,,1.0,
Mark Van Guilder 2016,Mark Van Guilder,2016,C,31.705,73,186,-,,,1.0,,
Mark Van Guilder 2017,Mark Van Guilder,2017,C,32.707,73,186,-,,1.0,,,
Mark Van Guilder 2018,Mark Van Guilder,2018,C,33.707,73,186,-,1.0,,,,
Mark Van Guilder 2019,Mark Van Guilder,2019,C,34.706,73,186,-,,,,,
Mark Van Guilder 2020,Mark Van Guilder,2020,C,35.705,73,186,-,,,,,
Mark Van Guilder 2021,Mark Van Guilder,2021,C,36.707,73,186,-,,,,,
Mark Van Guilder 2022,Mark Van Guilder,2022,C,37.707,73,186,-,,,,,
Mark Van Guilder 2023,Mark Van Guilder,2023,C,38.706,73,186,-,,,,,
Matt Gilroy 2008,Matt Gilroy,2008,D,23.198,73,199,-,,,,,
Matt Gilroy 2009,Matt Gilroy,2009,D,24.201,73,199,-,,,,,
Matt Gilroy 2010,Matt Gilroy,2010,D,25.2,73,199,-,,,,,69.0
Matt Gilroy 2011,Matt Gilroy,2011,D,26.199,73,199,-,,,,69.0,58.0
Matt Gilroy 2012,Matt Gilroy,2012,D,27.199,73,199,-,,,69.0,58.0,67.0
Matt Gilroy 2013,Matt Gilroy,2013,D,28.201,73,199,-,,69.0,58.0,67.0,15.0
Matt Gilroy 2014,Matt Gilroy,2014,D,29.2,73,199,-,69.0,58.0,67.0,15.0,16.0
Matt Gilroy 2015,Matt Gilroy,2015,D,30.199,73,199,-,58.0,67.0,15.0,16.0,
Matt Gilroy 2016,Matt Gilroy,2016,D,31.199,73,199,-,67.0,15.0,16.0,,
Matt Gilroy 2017,Matt Gilroy,2017,D,32.201,73,199,-,15.0,16.0,,,
Matt Gilroy 2018,Matt Gilroy,2018,D,33.2,73,199,-,16.0,,,,
Matt Gilroy 2019,Matt Gilroy,2019,D,34.199,73,199,-,,,,,
Matt Gilroy 2020,Matt Gilroy,2020,D,35.199,73,199,-,,,,,
Matt Gilroy 2021,Matt Gilroy,2021,D,36.201,73,199,-,,,,,
Matt Gilroy 2022,Matt Gilroy,2022,D,37.2,73,199,-,,,,,
Matt Gilroy 2023,Matt Gilroy,2023,D,38.2,73,199,-,,,,,
Louis Leblanc 2008,Louis Leblanc,2008,C,16.679,72,188,18,,,,,
Louis Leblanc 2009,Louis Leblanc,2009,C,17.682,72,188,18,,,,,
Louis Leblanc 2010,Louis Leblanc,2010,C,18.681,72,188,18,,,,,
Louis Leblanc 2011,Louis Leblanc,2011,C,19.68,72,188,18,,,,,
Louis Leblanc 2012,Louis Leblanc,2012,C,20.68,72,188,18,,,,,42.0
Louis Leblanc 2013,Louis Leblanc,2013,C,21.682,72,188,18,,,,42.0,
Louis Leblanc 2014,Louis Leblanc,2014,C,22.681,72,188,18,,,42.0,,8.0
Louis Leblanc 2015,Louis Leblanc,2015,C,23.68,72,188,18,,42.0,,8.0,
Louis Leblanc 2016,Louis Leblanc,2016,C,24.68,72,188,18,42.0,,8.0,,
Louis Leblanc 2017,Louis Leblanc,2017,C,25.682,72,188,18,,8.0,,,
Louis Leblanc 2018,Louis Leblanc,2018,C,26.681,72,188,18,8.0,,,,
Louis Leblanc 2019,Louis Leblanc,2019,C,27.68,72,188,18,,,,,
Louis Leblanc 2020,Louis Leblanc,2020,C,28.68,72,188,18,,,,,
Louis Leblanc 2021,Louis Leblanc,2021,C,29.682,72,188,18,,,,,
Louis Leblanc 2022,Louis Leblanc,2022,C,30.681,72,188,18,,,,,
Louis Leblanc 2023,Louis Leblanc,2023,C,31.681,72,188,18,,,,,
Jamie Devane 2008,Jamie Devane,2008,L,16.611,77,232,68,,,,,
Jamie Devane 2009,Jamie Devane,2009,L,17.613,77,232,68,,,,,
Jamie Devane 2010,Jamie Devane,2010,L,18.612,77,232,68,,,,,
Jamie Devane 2011,Jamie Devane,2011,L,19.612,77,232,68,,,,,
Jamie Devane 2012,Jamie Devane,2012,L,20.611,77,232,68,,,,,
Jamie Devane 2013,Jamie Devane,2013,L,21.613,77,232,68,,,,,
Jamie Devane 2014,Jamie Devane,2014,L,22.613,77,232,68,,,,,2.0
Jamie Devane 2015,Jamie Devane,2015,L,23.612,77,232,68,,,,2.0,
Jamie Devane 2016,Jamie Devane,2016,L,24.611,77,232,68,,,2.0,,
Jamie Devane 2017,Jamie Devane,2017,L,25.613,77,232,68,,2.0,,,
Jamie Devane 2018,Jamie Devane,2018,L,26.613,77,232,68,2.0,,,,
Jamie Devane 2019,Jamie Devane,2019,L,27.612,77,232,68,,,,,
Jamie Devane 2020,Jamie Devane,2020,L,28.611,77,232,68,,,,,
Jamie Devane 2021,Jamie Devane,2021,L,29.613,77,232,68,,,,,
Jamie Devane 2022,Jamie Devane,2022,L,30.613,77,232,68,,,,,
Jamie Devane 2023,Jamie Devane,2023,L,31.612,77,232,68,,,,,
Ben Hanowski 2008,Ben Hanowski,2008,R,16.953,74,210,63,,,,,
Ben Hanowski 2009,Ben Hanowski,2009,R,17.955,74,210,63,,,,,
Ben Hanowski 2010,Ben Hanowski,2010,R,18.955,74,210,63,,,,,
Ben Hanowski 2011,Ben Hanowski,2011,R,19.954,74,210,63,,,,,
Ben Hanowski 2012,Ben Hanowski,2012,R,20.953,74,210,63,,,,,
Ben Hanowski 2013,Ben Hanowski,2013,R,21.955,74,210,63,,,,,5.0
Ben Hanowski 2014,Ben Hanowski,2014,R,22.955,74,210,63,,,,5.0,11.0
Ben Hanowski 2015,Ben Hanowski,2015,R,23.954,74,210,63,,,5.0,11.0,
Ben Hanowski 2016,Ben Hanowski,2016,R,24.953,74,210,63,,5.0,11.0,,
Ben Hanowski 2017,Ben Hanowski,2017,R,25.956,74,210,63,5.0,11.0,,,
Ben Hanowski 2018,Ben Hanowski,2018,R,26.955,74,210,63,11.0,,,,
Ben Hanowski 2019,Ben Hanowski,2019,R,27.954,74,210,63,,,,,
Ben Hanowski 2020,Ben Hanowski,2020,R,28.954,74,210,63,,,,,
Ben Hanowski 2021,Ben Hanowski,2021,R,29.956,74,210,63,,,,,
Ben Hanowski 2022,Ben Hanowski,2022,R,30.955,74,210,63,,,,,
Ben Hanowski 2023,Ben Hanowski,2023,R,31.954,74,210,63,,,,,
Joonas Nattinen 2008,Joonas Nattinen,2008,C,16.742,75,192,65,,,,,
Joonas Nattinen 2009,Joonas Nattinen,2009,C,17.744,75,192,65,,,,,
Joonas Nattinen 2010,Joonas Nattinen,2010,C,18.744,75,192,65,,,,,
Joonas Nattinen 2011,Joonas Nattinen,2011,C,19.743,75,192,65,,,,,
Joonas Nattinen 2012,Joonas Nattinen,2012,C,20.743,75,192,65,,,,,
Joonas Nattinen 2013,Joonas Nattinen,2013,C,21.745,75,192,65,,,,,
Joonas Nattinen 2014,Joonas Nattinen,2014,C,22.744,75,192,65,,,,,1.0
Joonas Nattinen 2015,Joonas Nattinen,2015,C,23.743,75,192,65,,,,1.0,
Joonas Nattinen 2016,Joonas Nattinen,2016,C,24.743,75,192,65,,,1.0,,
Joonas Nattinen 2017,Joonas Nattinen,2017,C,25.745,75,192,65,,1.0,,,
Joonas Nattinen 2018,Joonas Nattinen,2018,C,26.744,75,192,65,1.0,,,,
Joonas Nattinen 2019,Joonas Nattinen,2019,C,27.743,75,192,65,,,,,
Joonas Nattinen 2020,Joonas Nattinen,2020,C,28.743,75,192,65,,,,,
Joonas Nattinen 2021,Joonas Nattinen,2021,C,29.745,75,192,65,,,,,
Joonas Nattinen 2022,Joonas Nattinen,2022,C,30.744,75,192,65,,,,,
Joonas Nattinen 2023,Joonas Nattinen,2023,C,31.744,75,192,65,,,,,
Alexander Urbom 2008,Alexander Urbom,2008,D,16.781,76,215,73,,,,,
Alexander Urbom 2009,Alexander Urbom,2009,D,17.783,76,215,73,,,,,
Alexander Urbom 2010,Alexander Urbom,2010,D,18.782,76,215,73,,,,,
Alexander Urbom 2011,Alexander Urbom,2011,D,19.782,76,215,73,,,,,8.0
Alexander Urbom 2012,Alexander Urbom,2012,D,20.781,76,215,73,,,,8.0,5.0
Alexander Urbom 2013,Alexander Urbom,2013,D,21.783,76,215,73,,,8.0,5.0,1.0
Alexander Urbom 2014,Alexander Urbom,2014,D,22.782,76,215,73,,8.0,5.0,1.0,20.0
